,PMID,Year
0,18840638,2009
1,17363563,2007
2,18308931,2008
3,20425795,2010
4,23676502,2013
5,20413677,2010
6,19351815,2009
7,20630862,2010
8,21407181,2011
9,16192569,2005
10,18089790,2008
11,18645025,2008
12,21368581,2011
13,22081076,2012
14,22242178,2012
15,22251626,2013
16,22388088,2012
17,22403704,2012
18,22808086,2013
19,25150312,2015
20,25669981,2016
21,26218285,2016
22,29292183,2019
23,17728006,2008
24,29328459,2018
25,17942906,2007
26,16934749,2006
27,17111382,2007
28,18923441,2009
29,18922928,2008
30,20033209,2010
31,20347499,2010
32,20614490,2010
33,21468581,2011
34,21903590,2012
35,22027761,2013
36,22440013,2012
37,24147037,2014
38,16651716,2006
39,17965831,2008
40,16505370,2006
41,17944059,2007
42,21826996,2012
43,22018986,2012
44,22120473,2012
45,22584434,2012
46,24145123,2014
47,19156147,2009
48,17606841,2007
49,18582896,2008
50,22014978,2012
51,22307873,2012
52,22363450,2012
53,21598109,2012
54,25914476,2016
55,21853155,2011
56,18449891,2008
57,29797599,2019
58,22374783,2014
59,21349817,2011
60,25349971,2015
61,22074483,2012
62,31868319,2021
63,18798260,2009
64,21292542,2011
65,18381414,2008
66,18171346,2008
67,18176954,2008
68,18223217,2008
69,18758960,2008
70,22303361,2012
71,26281062,2016
72,32102538,2020
73,18583325,2008
74,21183740,2011
75,21616524,2011
76,32424559,2021
77,19252139,2009
78,17243163,2007
79,29789629,2019
80,24755562,2015
81,25142144,2015
82,15172979,2004
83,15723655,2005
84,15766527,2005
85,16712479,2006
86,16885332,2006
87,17096367,2007
88,17940623,2008
89,18375788,2008
90,18766170,2008
91,19818775,2009
92,20097187,2010
93,20388420,2011
94,22301433,2012
95,21544802,2012
96,18998140,2009
97,18756266,2008
98,18973228,2008
99,18679415,2008
100,21869823,2012
101,21332710,2011
102,20693279,2010
103,21602527,2011
104,21373758,2011
105,20440510,2011
106,17942673,2007
107,17028596,2006
108,17322030,2007
109,17989227,2008
110,18560417,2009
111,19211792,2009
112,19221491,2009
113,20005451,2010
114,20370992,2010
115,20404092,2010
116,17283129,2007
117,23042116,2013
118,24659709,2015
119,17875710,2007
120,18199536,2008
121,20035894,2010
122,21482675,2011
123,21571355,2011
124,19654291,2009
125,20093556,2010
126,23335963,2013
127,19323605,2009
128,17761882,2007
129,22128589,2012
130,19136928,2009
131,17616669,2007
132,21148031,2011
133,23974362,2014
134,21229250,2011
135,20004941,2010
136,19347935,2009
137,18523662,2008
138,20816819,2010
139,17569129,2007
140,18379589,2008
141,26456124,2016
142,33628196,2021
143,34243793,2021
144,16103053,2005
145,16461460,2006
146,16754881,2006
147,24479446,2014
148,27784461,2017
149,15284443,2004
150,32857715,2021
151,22321781,2016
152,25368993,2015
153,16530703,2006
154,21365266,2012
155,26625972,2016
156,22970210,2013
157,23233736,2013
158,30127641,2022
159,17974952,2007
160,22614013,2013
161,27998862,2018
162,24703161,2014
163,17308078,2007
164,23259291,2013
165,24423609,2014
166,32016588,2020
167,18056805,2008
168,22918121,2013
169,18337557,2008
170,33531067,2021
171,25028925,2015
172,18525125,2008
173,20936480,2011
174,21659796,2012
175,22610069,2012
176,24027266,2013
177,29170128,2017
178,30011310,2019
179,23705811,2013
180,26704906,2016
181,29670510,2020
182,26333279,2016
183,30178428,2020
184,22825541,2013
185,21826373,2012
186,22294324,2012
187,22821209,2012
188,23339187,2013
189,23372341,2013
190,23722663,2015
191,24670448,2015
192,25137071,2015
193,31595560,2021
194,31901542,2020
195,31938021,2022
196,32585626,2024
197,22976804,2013
198,24104964,2014
199,27345399,2017
200,20501372,2011
201,21701491,2012
202,17934639,2008
203,33472892,2021
204,20232482,2010
205,21622546,2011
206,22934260,2021
207,23029111,2013
208,24129674,2015
209,24297460,2014
210,25629698,2016
211,25951903,2016
212,26341226,2016
213,27525719,2017
214,27903835,2017
215,28534369,2019
216,28671046,2017
217,28694731,2017
218,30200635,2022
219,17234972,2007
220,28159509,2017
221,22334139,2012
222,28181149,2017
223,17616659,2007
224,25605008,2016
225,32856506,2021
226,22074333,2012
227,32699607,2022
228,22382630,2013
229,16609010,2006
230,21722265,2012
231,21844009,2012
232,29886785,2019
233,32038059,2022
234,33285367,2021
235,25611389,2015
236,32783191,2021
237,33425484,2021
238,34625660,2022
239,24910152,2015
240,27556489,2017
241,17712037,2008
242,27483351,2017
243,24311633,2014
244,24816458,2015
245,25638158,2016
246,26967895,2016
247,28088786,2017
248,25772772,2015
249,32165186,2020
250,34244742,2022
251,27390862,2017
252,29795132,2019
253,22847808,2013
254,35176761,2022
255,22910415,2013
256,26393682,2016
257,22235027,2012
258,27429177,2017
259,32824820,2021
260,25288334,2015
261,25510669,2015
262,25613480,2016
263,30237418,2019
264,21655185,2011
265,23806108,2013
266,25415048,2015
267,27520092,2017
268,28677425,2017
269,21358821,2011
270,22921398,2013
271,25656572,2015
272,31145301,2019
273,25871842,2015
274,29976201,2019
275,25779425,2015
276,25763857,2015
277,33742210,2022
278,22391672,2012
279,32668728,2021
280,33208444,2021
281,22613005,2013
282,23496901,2013
283,25333670,2015
284,30108446,2020
285,32626571,2022
286,33363387,2022
287,33824853,2021
288,27286171,2017
289,29344666,2018
290,26581012,2016
291,24711889,2014
292,25788763,2016
293,26163223,2016
294,24279374,2014
295,25249297,2015
296,25300531,2016
297,26296645,2016
298,24237608,2014
299,23826416,2014
300,26708866,2016
301,30139235,2018
302,21412931,2011
303,34161325,2021
304,22683924,2012
305,33627711,2021
306,17437991,2007
307,17699775,2007
308,31413212,2019
309,21102586,2011
310,26026830,2016
311,26964645,2016
312,22909203,2013
313,21921041,2012
314,28343170,2017
315,25228266,2015
316,32076030,2020
317,18477892,2008
318,21087605,2011
319,21892151,2011
320,23377970,2013
321,25868368,2015
322,26754091,2016
323,28167449,2017
324,31873045,2020
325,19703993,2009
326,29790117,2019
327,25093848,2015
328,19846888,2010
329,28213378,2017
330,19823682,2010
331,22835429,2013
332,23196978,2013
333,24637658,2015
334,24734107,2014
335,24284400,2014
336,28062497,2017
337,26542107,2016
338,24412363,2014
339,21045151,2011
340,22129484,2014
341,25682900,2016
342,25946136,2016
343,18987751,2008
344,28436683,2017
345,17943719,2008
346,24885481,2015
347,20423455,2010
348,21075073,2011
349,31855835,2021
350,33194579,2020
351,26258540,2016
352,33121472,2021
353,32738584,2021
354,33091189,2021
355,18451233,2008
356,23542579,2014
357,29385306,2018
358,23155457,2013
359,25579086,2016
360,34094034,2022
361,23684747,2013
362,19851034,2010
363,29025376,2017
364,30350903,2019
365,20960104,2011
366,28300776,2017
367,29462963,2018
368,21309633,2011
369,18631158,2019
370,24074714,2014
371,22965126,2013
372,20579941,2010
373,26089375,2016
374,33322720,2021
375,22719071,2012
376,26540468,2016
377,27157642,2018
378,33079387,2021
379,24978044,2015
380,30013141,2019
381,23921681,2014
382,27606352,2016
383,33207823,2020
384,20935637,2010
385,18026111,2007
386,26730174,2016
387,20800581,2010
388,23049982,2013
389,17597302,2007
390,30139538,2019
391,25633261,2016
392,19888324,2010
393,24447930,2014
394,22615744,2012
395,32248842,2020
396,33274206,2021
397,23649765,2014
398,17540974,2007
399,26348824,2016
400,22871070,2013
401,22964640,2013
402,19749800,2009
403,23562878,2014
404,27422560,2017
405,27566568,2018
406,35229372,2022
407,23161775,2013
408,22917031,2012
409,31683460,2020
410,33732281,2021
411,23013190,2013
412,25991007,2016
413,21409395,2012
414,32941675,2021
415,33440868,2021
416,33562968,2021
417,24866763,2015
418,25122196,2016
419,25388283,2015
420,26982264,2017
421,28731186,2018
422,27150990,2016
