,PMID,Year
0,15737576,2005
1,16195701,2006
2,16251535,2005
3,16466964,2006
4,16549775,2006
5,16712479,2006
6,16847880,2006
7,16885332,2006
8,16940181,2007
9,17028302,2007
10,17096367,2007
11,17188425,2007
12,17234972,2007
13,17327404,2007
14,17355635,2007
15,17442096,2007
16,17468766,2007
17,17479098,2007
18,17847008,2007
19,17892514,2007
20,17940623,2008
21,17965831,2008
22,17974952,2007
23,17976518,2008
24,18056805,2008
25,18089852,2008
26,18362358,2008
27,18390668,2008
28,18430245,2008
29,18508790,2008
30,18777135,2010
31,18823650,2008
32,18834879,2009
33,18925646,2008
34,18936236,2008
35,18941111,2009
36,18942116,2009
37,18987751,2008
38,18998140,2009
39,19022373,2009
40,19074828,2009
41,19144983,2009
42,19206004,2009
43,19242066,2009
44,19297609,2009
45,19717645,2009
46,19744308,2011
47,19823581,2010
48,19900756,2010
49,20188071,2010
50,20364043,2010
51,20393129,2010
52,20529253,2010
53,20651284,2010
54,20805506,2010
55,21070600,2012
56,21130495,2011
57,21139804,2011
58,21157109,2011
59,21179471,2011
60,21220732,2011
61,21229250,2011
62,21242186,2011
63,21278583,2011
64,21303526,2011
65,21321380,2011
66,21372198,2011
67,21383985,2011
68,21408091,2011
69,21441948,2011
70,21472710,2011
71,21483773,2011
72,21511335,2011
73,21544802,2012
74,21548758,2011
75,21561454,2011
76,21636858,2011
77,21649547,2011
78,21673684,2011
79,21678057,2012
80,21749846,2012
81,21818844,2012
82,21910161,2012
83,21924071,2012
84,22095477,2012
85,22237456,2012
86,22242178,2012
87,22251480,2012
88,22369946,2012
89,22374169,2012
90,22391115,2012
91,22395025,2012
92,22440013,2012
93,22456620,2012
94,22648208,2013
95,22675530,2012
96,22692639,2012
97,22719071,2012
98,22719221,2012
99,22782668,2013
100,22829237,2012
101,22860003,2013
102,22862169,2013
103,22887127,2013
104,22892455,2013
105,22926798,2013
106,22981932,2013
107,23052693,2013
108,23129428,2013
109,23199328,2013
110,23203215,2013
111,23286334,2014
112,23354517,2013
113,23372743,2013
114,23389917,2013
115,23401079,2013
116,23776611,2014
117,23895045,2015
118,24043548,2014
119,24141112,2014
120,24277735,2014
121,24648008,2015
122,24678958,2014
123,24680705,2014
124,24748987,2021
125,24796653,2015
126,24878024,2014
127,24908639,2015
128,24910152,2015
129,24931100,2015
130,25033200,2015
131,25103018,2015
132,25164131,2015
133,25394245,2015
134,25468268,2015
135,25500583,2016
136,25585503,2016
137,25793640,2016
138,25896908,2016
139,25924238,2016
140,25938589,2016
141,25939484,2016
142,25962782,2017
143,25973054,2016
144,25975504,2015
145,25975752,2015
146,26001314,2015
147,26044809,2016
148,26078483,2016
149,26188366,2016
150,26211628,2016
151,26223376,2017
152,26230475,2016
153,26233325,2017
154,26299579,2016
155,26420120,2015
156,26460159,2016
157,26534789,2016
158,26661204,2017
159,26689798,2017
160,26722250,2020
161,26794279,2016
162,26831660,2017
163,26848406,2016
164,26860517,2017
165,26864161,2017
166,26908869,2016
167,27005938,2016
168,27049094,2016
169,27110261,2016
170,27129184,2017
171,27152453,2017
172,27197674,2017
173,27199451,2017
174,27199509,2017
175,27321479,2017
176,27379414,2016
177,27383196,2018
178,27483257,2017
179,27510529,2017
180,27535859,2017
181,27658773,2017
182,27856935,2017
183,28065883,2017
184,28293796,2018
185,28377507,2017
186,28407516,2017
187,28618412,2018
188,28910942,2019
189,29062343,2018
190,29068867,2017
191,29113498,2018
192,29278659,2019
193,29324314,2018
194,29381395,2018
195,29431643,2019
196,29434051,2019
197,29536180,2018
198,29556924,2018
199,29630521,2018
200,29749498,2018
201,29787577,2018
202,29800045,2019
203,29873187,2018
204,29873258,2019
205,29873766,2018
206,29904430,2020
207,29935433,2019
208,29998838,2019
209,30008716,2019
210,30017193,2019
211,30018954,2022
212,30019103,2019
213,30049824,2019
214,30052155,2020
215,30061955,2020
216,30118248,2020
217,30127929,2020
218,30135469,2019
219,30147020,2019
220,30165157,2020
221,30167868,2019
222,30195754,2021
223,30202206,2022
224,30267378,2018
225,30308506,2018
226,30309709,2020
227,30316681,2019
228,30317557,2020
229,30340457,2019
230,30348222,2019
231,17942673,2007
232,18442408,2008
233,18450603,2008
234,18478077,2008
235,18589210,2008
236,18633110,2008
237,18668526,2008
238,18690400,2015
239,18700954,2009
240,18799331,2010
241,19043531,2011
242,19106647,2009
243,19440243,2009
244,19692421,2009
245,19724284,2010
246,19876917,2010
247,20233326,2010
248,20349219,2010
249,20395621,2010
250,20485490,2010
251,20561445,2011
252,20576643,2010
253,20595154,2011
254,20595655,2010
255,20888330,2011
256,21129921,2011
257,21173133,2011
258,21176349,2011
259,21295623,2011
260,21367929,2011
261,21425469,2011
262,21460253,2011
263,21501493,2011
264,21602527,2011
265,21606975,2011
266,21642990,2011
267,21700819,2011
268,21817153,2011
269,21949733,2012
270,21998423,2012
271,22003392,2012
272,22009180,2012
273,22018950,2012
274,22094257,2012
275,22105822,2012
276,22108567,2012
277,22155483,2012
278,22156446,2012
279,22198701,2012
280,22209839,2013
281,22239527,2012
282,22240788,2012
283,22252325,2012
284,22263628,2012
285,22298638,2012
286,22326282,2012
287,22344312,2012
288,22350310,2012
289,22353773,2013
290,22370716,2012
291,22392036,2012
292,22400902,2012
293,22412969,2012
294,22427142,2012
295,22429968,2012
296,22431542,2012
297,22432036,2012
298,22456238,2012
299,22506038,2012
300,22512273,2012
301,22512691,2012
302,22719975,2012
303,22813605,2012
304,22891887,2012
305,22920721,2013
306,22939041,2013
307,22964854,2013
308,23026916,2012
309,23056289,2013
310,23059743,2013
311,23064048,2013
312,23070235,2014
313,23071695,2013
314,23144172,2013
315,23160513,2013
316,23168198,2013
317,23174013,2013
318,23236408,2013
319,23238818,2013
320,23247724,2013
321,23307240,2013
322,23329235,2013
323,23337359,2013
324,23338559,2013
325,23347612,2014
326,23361059,2013
327,23391324,2013
328,23410826,2013
329,23424776,2013
330,23430754,2013
331,23435408,2013
332,23519840,2013
333,23521833,2013
334,23542579,2014
335,23554832,2013
336,23574937,2015
337,23579215,2013
338,23641832,2013
339,23673725,2014
340,23676496,2013
341,23696613,2014
342,23697990,2014
343,23723713,2013
344,23733518,2013
345,23736534,2014
346,23747779,2013
347,23748853,2013
348,23756108,2014
349,23756429,2014
350,23773985,2014
351,23782250,2013
352,23790110,2014
353,23806809,2014
354,23810247,2013
355,23814167,2014
356,23834149,2014
357,23840538,2014
358,23860376,2013
359,23863473,2015
360,23868745,2014
361,23874370,2014
362,23874885,2014
363,23879331,2015
364,23881177,2014
365,23886700,2014
366,23922807,2014
367,23922812,2014
368,23935962,2014
369,23998571,2014
370,24022433,2013
371,24025417,2015
372,24035613,2014
373,24041574,2014
374,24065453,2014
375,24072101,2014
376,24118467,2014
377,24129591,2014
378,24129592,2014
379,24146790,2014
380,24194846,2015
381,24204780,2014
382,24212760,2014
383,24237608,2014
384,24238045,2014
385,24282590,2014
386,24284400,2014
387,24301304,2014
388,24304191,2015
389,24336071,2014
390,24400911,2014
391,24418947,2015
392,24421215,2014
393,24423916,2014
394,24449318,2014
395,24452363,2014
396,24455723,2014
397,24460325,2014
398,24460924,2014
399,24477576,2014
400,24477595,2014
401,24481716,2014
402,24498016,2014
403,24503739,2014
404,24533109,2015
405,24549225,2014
406,24573468,2015
407,24573638,2014
408,24577456,2015
409,24584717,2014
410,24586105,2014
411,24586506,2015
412,24595450,2015
413,24598659,2014
414,24603541,2015
415,24626859,2016
416,24637658,2015
417,24641401,2014
418,24643113,2014
419,24646542,2015
420,24656994,2015
421,24675587,2014
422,24691020,2015
423,24697119,2014
424,24699363,2014
425,24709885,2015
426,24727883,2015
427,24768587,2014
428,24784704,2015
429,24815829,2015
430,24851893,2015
431,24858071,2015
432,24874084,2015
433,24874644,2015
434,24893170,2015
435,24909097,2015
436,24927146,2015
437,24947260,2015
438,24955371,2015
439,24961907,2015
440,24963487,2015
441,24981880,2015
442,25004125,2015
443,25030590,2014
444,25064070,2015
445,25086335,2021
446,25117812,2014
447,25119742,2015
448,25120598,2021
449,25129310,2015
450,25138057,2015
451,25150707,2015
452,25174622,2015
453,25185654,2015
454,25187505,2015
455,25202432,2021
456,25214155,2015
457,25218271,2015
458,25218681,2015
459,25253569,2015
460,25265569,2016
461,25301405,2016
462,25326859,2015
463,25327597,2015
464,25349183,2015
465,25367878,2016
466,25391771,2015
467,25399392,2015
468,25405754,2015
469,25416717,2015
470,25428891,2015
471,25431259,2015
472,25449503,2015
473,25452043,2015
474,25456009,2015
475,25457410,2015
476,25468389,2015
477,25482320,2015
478,25485932,2015
479,25501703,2015
480,25502508,2015
481,25503151,2015
482,25505813,2015
483,25516467,2016
484,25521481,2015
485,25524942,2015
486,25527152,2015
487,25530976,2015
488,25532038,2015
489,25593199,2015
490,25618599,2015
491,25619197,2016
492,25637573,2015
493,25639977,2016
494,25664324,2015
495,25675113,2015
496,25677225,2016
497,25682967,2016
498,25683351,2016
499,25704294,2016
500,25722112,2015
501,25722304,2016
502,25738738,2016
503,25739750,2016
504,25740880,2015
505,25744750,2015
506,25753045,2016
507,25754273,2015
508,25755772,2015
509,25756397,2015
510,25763857,2015
511,25765717,2015
512,25775010,2015
513,25777797,2015
514,25791720,2015
515,25807655,2015
516,25810564,2015
517,25815788,2015
518,25819175,2015
519,25825351,2016
520,25840506,2016
521,25877355,2015
522,25889241,2016
523,25894380,2016
524,25903557,2016
525,25904302,2016
526,25907045,2016
527,25909813,2016
528,25914476,2016
529,25933289,2016
530,25947625,2016
531,25947950,2016
532,25952368,2016
533,25960240,2016
534,25973032,2016
535,25975751,2015
536,25976622,2015
537,25981845,2015
538,25982274,2016
